,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,yr_built,house_age,zipcode,view,condition,grade,sqft_above,sqft_basement,yr_renovated,sqft_living15,sqft_lot15
price,1,,,,,,,,,,,,,,,,
bedrooms,0.315437992,1,,,,,,,,,,,,,,,
bathrooms,0.525137505,0.529163018,1,,,,,,,,,,,,,,
sqft_living,0.702035055,0.591470953,0.754665279,1,,,,,,,,,,,,,
sqft_lot,0.089660861,0.032810957,0.087739662,0.172825661,1,,,,,,,,,,,,
floors,0.256793888,0.18109793,0.500653173,0.35394929,-0.005200991,1,,,,,,,,,,,
yr_built,0.054011531,0.159179794,0.506019438,0.318048769,0.053080367,0.489319425,1,,,,,,,,,,
house_age,-0.054011531,-0.159179794,-0.506019438,-0.318048769,-0.053080367,-0.489319425,-1,1,,,,,,,,,
zipcode,-0.053202854,-0.157100111,-0.203866274,-0.199430043,-0.129574486,-0.059120642,-0.346869178,0.346869178,1,,,,,,,,
view,0.397293488,0.081934899,0.187737024,0.284611186,0.074710106,0.02944382,-0.053439851,0.053439851,0.084826917,1,,,,,,,
condition,0.036361789,0.025428235,-0.124981933,-0.058752587,-0.00895825,-0.263767946,-0.361416562,0.361416562,0.003025524,0.045989737,1,,,,,,
grade,0.667434256,0.366508742,0.664982534,0.762704476,0.113621124,0.458182514,0.446963205,-0.446963205,-0.184862093,0.251320585,-0.144673671,1,,,,,
sqft_above,0.605567298,0.490605433,0.685342476,0.876596599,0.183512281,0.52388471,0.423898352,-0.423898352,-0.261189977,0.167649344,-0.158213616,0.755922938,1,,,,
sqft_basement,0.323816021,0.309473349,0.283770034,0.435042974,0.015286202,-0.245704542,-0.133124099,0.133124099,0.074844608,0.276946579,0.174104914,0.168391825,-0.051943307,1,,,
yr_renovated,0.126433793,0.019620603,0.050738978,0.055362927,0.007643505,0.006338401,-0.224873518,0.224873518,0.064357057,0.103917288,-0.060617787,0.014414281,0.023284688,0.071322902,1,,
sqft_living15,0.585378904,0.402633496,0.56863429,0.756420259,0.144608174,0.279885265,0.3262289,-0.3262289,-0.279032997,0.280439082,-0.092824268,0.713202093,0.731870292,0.200354983,-0.002672555,1,
sqft_lot15,0.082447153,0.030407726,0.087175361,0.183285551,0.718556752,-0.011269187,0.070957926,-0.070957926,-0.147221069,0.072574568,-0.003405523,0.119247897,0.194049862,0.017276181,0.007853765,0.183191749,1
